Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Access GET /,11215,281,3000.0,4624.0331609336545,0.6527540026581846,33355.389742002444,10227.861346411057,37.39982542525497,0.9370798880514174,3000,3900,4700,5400,11000,14000,25000,27000,31000,33000,33000
GET,Access GET /cart,10452,209,1600.0,2751.127048570531,0.5576920011662878,23733.66749499837,6734.062380405664,34.85537007086624,0.6969740092624421,1600,2200,2600,3100,6000,8600,19000,20000,23000,24000,24000
GET,Access GET /product/1YMWWN1N4O,2213,42,1700.0,2813.230365566667,0.5544249979720917,22228.807034000056,7790.399457749661,7.3799209688889205,0.14006176262690223,1700,2300,2900,3300,6300,8300,19000,21000,22000,22000,22000
GET,Access GET /product/66VCHSJNUP,2103,24,1800.0,3049.5512203622948,0.8824239994282834,22280.308009998407,7811.983832620067,7.01309254296132,0.08003529292965843,1800,2500,3100,3700,6800,9100,20000,22000,22000,22000,22000
GET,Access GET /product/L9ECAV7KIM,2101,37,1800.0,2846.667494205628,0.7783450018905569,22254.765090001456,7774.571156592099,7.006422935217182,0.12338774326655674,1800,2400,2900,3400,6400,8600,18000,21000,22000,22000,22000
GET,Access GET /product/LS4PSXUNUM,2242,36,1700.0,2939.3366997234875,2.447860999382101,22336.85880899793,7783.7091882248,7.476630281178925,0.12005293939448763,1700,2400,3000,3500,6500,8900,20000,22000,22000,22000,22000
GET,Access GET /product/OLJCESPC7Z,2118,41,1800.0,2840.654471160517,0.7144049995986279,22266.195538999455,7784.672804532578,7.063114601042356,0.13672695875483315,1800,2400,2900,3400,6200,8700,19000,22000,22000,22000,22000
,Aggregated,32444,670,2100.0,3447.1564629199775,0.5544249979720917,33355.389742002444,8292.196646529404,108.19437682540992,2.2343185942862975,2100,2800,3600,4200,7500,12000,20000,22000,29000,32000,33000
